Incident_ID,Incident_Date,Category,Severity,Impact,Status,Escalated,Location_ID
INC00042,2024-09-29,Phishing,Low,Moderate,Investigating,No,LOC0023
INC00043,2023-02-01,Web Attack,Critical,Moderate,Resolved,Yes,LOC0079
INC00044,2025-02-01,Unauthorized Access,Low,Significant,Resolved,No,LOC0070
INC00045,2024-12-09,DDoS,Low,Severe,Investigating,Yes,LOC0059
INC00046,2023-07-09,Ransomware,Critical,Low,Resolved,Yes,LOC0001
INC00047,2025-03-20,Data Breach,High,Severe,Resolved,No,LOC0055
INC00048,2025-12-09,Insider Threat,High,Significant,Contained,Yes,LOC0086
INC00049,2023-05-16,Malware,High,Significant,Open,No,LOC0065
INC00050,2025-07-12,Unauthorized Access,Critical,Significant,Contained,Yes,LOC0001
INC00051,2023-06-29,Web Attack,High,Significant,Open,Yes,LOC0029
INC00052,2024-06-19,Ransomware,High,Significant,Open,No,LOC0057
INC00053,2023-01-09,Ransomware,High,Moderate,Contained,Yes,LOC0082
INC00054,2026-05-18,Web Attack,Medium,Significant,Open,No,LOC0045
INC00055,2023-07-31,Malware,Medium,Moderate,Investigating,No,LOC0086
INC00056,2025-01-31,DDoS,Medium,Low,Resolved,Yes,LOC0080
INC00057,2023-08-20,DDoS,Low,Significant,Investigating,No,LOC0027
INC00058,2026-04-06,Insider Threat,High,Low,Resolved,Yes,LOC0020
INC00059,2025-07-31,Phishing,Medium,Moderate,Resolved,No,LOC0091
INC00060,2024-07-05,DDoS,Low,Low,Resolved,Yes,LOC0059
INC00061,2024-08-19,Phishing,Medium,Moderate,Resolved,No,LOC0085
INC00062,2025-03-21,Insider Threat,Critical,Significant,Resolved,No,LOC0093
INC00063,2025-09-29,Data Breach,Medium,Significant,Investigating,No,LOC0043
INC00064,2025-12-17,DDoS,High,Moderate,Resolved,No,LOC0005
INC00065,2023-01-23,DDoS,Critical,Low,Investigating,No,LOC0091
INC00066,2025-04-27,Phishing,Low,Moderate,Resolved,No,LOC0059
INC00067,2023-05-20,Web Attack,High,Moderate,Contained,No,LOC0013
INC00068,2024-01-03,Data Breach,Medium,Significant,Open,No,LOC0053
INC00069,2025-11-25,Ransomware,Medium,Significant,Investigating,No,LOC0003
INC00070,2023-11-16,DDoS,High,Moderate,Resolved,No,LOC0029
INC00071,2025-10-14,Data Breach,Critical,Moderate,Investigating,Yes,LOC0035
INC00072,2024-08-14,Data Breach,Medium,Severe,Investigating,No,LOC0046
INC00073,2023-10-25,DDoS,High,Significant,Investigating,No,LOC0057
INC00074,2024-11-08,Ransomware,Medium,Moderate,Contained,No,LOC0084
INC00075,2025-09-04,Data Breach,High,Moderate,Resolved,Yes,LOC0036
INC00076,2025-02-12,Data Breach,High,Low,Resolved,No,LOC0074
INC00077,2026-04-06,Unauthorized Access,High,Severe,Contained,Yes,LOC0095
INC00078,2026-01-13,Malware,High,Moderate,Investigating,No,LOC0075
INC00079,2025-08-20,DDoS,Low,Moderate,Open,No,LOC0026
INC00080,2025-02-09,Unauthorized Access,High,Severe,Contained,Yes,LOC0068
INC00081,2024-01-06,Web Attack,High,Significant,Resolved,No,LOC0029
INC00082,2024-06-10,Unauthorized Access,High,Low,Resolved,Yes,LOC0048
INC00083,2023-06-01,Ransomware,Low,Low,Contained,No,LOC0064
INC00084,2024-04-22,Unauthorized Access,Medium,Low,Resolved,No,LOC0030
INC00085,2026-03-29,Phishing,Medium,Significant,Contained,No,LOC0001
INC00086,2024-06-27,Malware,Low,Low,Resolved,No,LOC0084
INC00087,2023-05-26,Data Breach,Medium,Severe,Contained,Yes,LOC0073
INC00088,2025-04-12,Web Attack,Medium,Severe,Resolved,No,LOC0013
INC00089,2026-05-14,Insider Threat,High,Significant,Contained,No,LOC0038
INC00090,2026-01-12,Unauthorized Access,Medium,Significant,Resolved,Yes,LOC0027
INC00091,2023-12-16,Malware,Critical,Moderate,Contained,No,LOC0098
INC00092,2024-08-02,Web Attack,High,Low,Open,No,LOC0095
INC00093,2024-11-09,DDoS,High,Significant,Investigating,No,LOC0070
INC00094,2023-11-13,Ransomware,Medium,Low,Contained,No,LOC0045
INC00095,2023-12-10,Web Attack,Medium,Low,Resolved,No,LOC0006
INC00096,2023-10-30,Data Breach,High,Moderate,Resolved,No,LOC0025
INC00097,2026-06-24,Data Breach,Critical,Low,Resolved,Yes,LOC0010
INC00098,2025-08-10,Ransomware,Medium,Moderate,Investigating,No,LOC0079
INC00099,2025-11-08,Web Attack,High,Significant,Resolved,No,LOC0009
INC00100,2026-05-09,DDoS,High,Significant,Resolved,Yes,LOC0068
INC00101,2023-05-15,Unauthorized Access,High,Significant,Contained,No,LOC0096
INC00102,2026-01-30,Insider Threat,Low,Severe,Contained,Yes,LOC0031
INC00103,2023-03-26,Data Breach,Medium,Moderate,Investigating,No,LOC0069
INC00104,2024-08-30,Phishing,Medium,Severe,Contained,No,LOC0088
INC00105,2025-01-29,Ransomware,Critical,Moderate,Resolved,No,LOC0043
INC00106,2024-04-01,Ransomware,Medium,Moderate,Resolved,Yes,LOC0045
INC00107,2023-07-06,Web Attack,Medium,Severe,Resolved,No,LOC0021
INC00108,2023-09-03,Data Breach,Critical,Moderate,Investigating,No,LOC0043
INC00109,2025-11-19,Ransomware,Medium,Low,Resolved,No,LOC0088
INC00110,2024-02-12,Data Breach,Medium,Moderate,Resolved,No,LOC0067
INC00111,2024-02-01,Data Breach,Medium,Moderate,Investigating,No,LOC0021
INC00112,2026-03-25,DDoS,Low,Moderate,Resolved,No,LOC0053
INC00113,2023-07-03,DDoS,Low,Moderate,Open,No,LOC0071
INC00114,2026-03-14,Web Attack,Medium,Severe,Open,No,LOC0008
INC00115,2026-03-22,Unauthorized Access,High,Moderate,Investigating,Yes,LOC0077
INC00116,2025-02-03,Phishing,High,Moderate,Investigating,No,LOC0021
INC00117,2023-07-31,Data Breach,Low,Moderate,Resolved,No,LOC0030
INC00118,2023-07-19,Unauthorized Access,High,Significant,Contained,No,LOC0042
INC00119,2023-12-30,Unauthorized Access,Low,Low,Investigating,No,LOC0051
INC00120,2025-01-07,Data Breach,Critical,Low,Contained,No,LOC0092
INC00121,2023-07-16,Web Attack,Low,Moderate,Contained,Yes,LOC0023
INC00122,2024-08-04,Ransomware,High,Significant,Investigating,No,LOC0026
INC00123,2023-05-28,DDoS,Medium,Significant,Investigating,No,LOC0038
INC00124,2024-11-20,Phishing,High,Significant,Resolved,No,LOC0086
INC00125,2023-01-28,Data Breach,Medium,Significant,Investigating,No,LOC0097
INC00126,2025-06-24,DDoS,High,Moderate,Resolved,No,LOC0046
INC00127,2023-03-12,Ransomware,Medium,Low,Investigating,No,LOC0070
INC00128,2023-09-06,Data Breach,Critical,Low,Resolved,No,LOC0092
INC00129,2023-08-12,DDoS,Medium,Low,Resolved,No,LOC0085
INC00130,2025-11-27,DDoS,High,Moderate,Investigating,No,LOC0069
INC00131,2023-03-10,DDoS,Critical,Moderate,Open,Yes,LOC0055
INC00132,2024-07-02,Ransomware,Critical,Moderate,Resolved,No,LOC0099
INC00133,2025-01-24,Phishing,Medium,Significant,Contained,No,LOC0024
INC00134,2024-10-20,Insider Threat,Medium,Moderate,Resolved,No,LOC0037
INC00135,2025-05-19,Malware,Medium,Significant,Open,No,LOC0072
INC00136,2025-10-22,Ransomware,Medium,Significant,Investigating,No,LOC0003
INC00137,2024-05-17,Data Breach,High,Moderate,Contained,No,LOC0051
INC00138,2025-11-23,Phishing,Critical,Moderate,Resolved,No,LOC0086
INC00139,2024-02-11,Data Breach,Critical,Significant,Investigating,No,LOC0018
INC00140,2026-06-11,Data Breach,High,Significant,Resolved,Yes,LOC0081
INC00141,2024-10-06,Data Breach,High,Moderate,Resolved,No,LOC0042
INC00142,2025-07-28,Ransomware,Critical,Moderate,Open,No,LOC0087
INC00143,2026-01-22,Malware,Critical,Significant,Investigating,No,LOC0064
INC00144,2025-10-09,Web Attack,Medium,Significant,Investigating,Yes,LOC0016
INC00145,2025-12-22,Ransomware,High,Low,Contained,No,LOC0074
INC00146,2024-11-16,Insider Threat,Critical,Moderate,Resolved,No,LOC0006
INC00147,2023-02-25,Phishing,Medium,Severe,Contained,No,LOC0025
INC00148,2024-09-21,Phishing,Medium,Low,Investigating,Yes,LOC0089
INC00149,2023-08-20,Insider Threat,Critical,Severe,Resolved,No,LOC0088
INC00150,2026-02-09,Web Attack,Critical,Low,Resolved,No,LOC0005
INC00151,2023-10-30,Insider Threat,Critical,Moderate,Contained,Yes,LOC0038
INC00152,2023-10-19,Insider Threat,High,Moderate,Resolved,Yes,LOC0010
INC00153,2023-11-15,Phishing,Medium,Low,Investigating,Yes,LOC0028
INC00154,2025-03-31,Web Attack,Medium,Severe,Resolved,No,LOC0097
INC00155,2024-12-30,Data Breach,High,Moderate,Contained,Yes,LOC0020
INC00156,2026-04-26,Phishing,High,Severe,Contained,No,LOC0065
INC00157,2024-06-15,Phishing,Medium,Moderate,Investigating,No,LOC0081
INC00158,2023-12-27,Insider Threat,High,Severe,Resolved,No,LOC0089
INC00159,2023-03-04,Ransomware,Medium,Severe,Resolved,No,LOC0036
INC00160,2023-01-10,Insider Threat,High,Significant,Contained,No,LOC0070
INC00161,2026-03-28,Phishing,Medium,Moderate,Resolved,Yes,LOC0049
INC00162,2024-10-30,Ransomware,Medium,Significant,Resolved,No,LOC0011
INC00163,2026-02-15,Ransomware,Low,Significant,Open,Yes,LOC0023
INC00164,2023-05-10,Ransomware,Medium,Severe,Resolved,Yes,LOC0075
INC00165,2023-04-30,Data Breach,Critical,Moderate,Contained,No,LOC0069
INC00166,2025-11-30,Web Attack,Medium,Moderate,Resolved,Yes,LOC0053
INC00167,2023-05-17,Web Attack,Medium,Low,Investigating,Yes,LOC0079
INC00168,2023-03-08,Data Breach,High,Significant,Investigating,No,LOC0070
INC00169,2024-05-31,Phishing,High,Severe,Contained,Yes,LOC0034
INC00170,2026-03-27,Web Attack,Low,Low,Investigating,Yes,LOC0030
INC00171,2025-05-30,Unauthorized Access,Medium,Significant,Resolved,No,LOC0095
INC00172,2023-05-07,Unauthorized Access,Low,Severe,Contained,No,LOC0098
INC00173,2025-12-05,Data Breach,High,Low,Investigating,No,LOC0004
INC00174,2025-12-13,Insider Threat,Medium,Low,Contained,Yes,LOC0080
INC00175,2025-10-19,Web Attack,Low,Significant,Resolved,No,LOC0014
INC00176,2026-02-26,Unauthorized Access,Low,Significant,Resolved,No,LOC0087
INC00177,2023-11-03,Unauthorized Access,High,Low,Contained,Yes,LOC0059
INC00178,2026-06-04,Data Breach,Low,Severe,Investigating,Yes,LOC0069
INC00179,2024-02-14,Ransomware,Critical,Moderate,Investigating,Yes,LOC0071
INC00180,2025-10-21,Ransomware,Low,Severe,Resolved,No,LOC0061
INC00181,2025-01-09,Data Breach,High,Severe,Resolved,Yes,LOC0026
INC00182,2025-09-22,Malware,Medium,Significant,Resolved,No,LOC0081
INC00183,2025-03-12,Ransomware,Medium,Moderate,Resolved,No,LOC0056
INC00184,2025-03-31,Data Breach,Low,Moderate,Investigating,Yes,LOC0055
INC00185,2025-02-25,Web Attack,High,Moderate,Resolved,No,LOC0032
INC00186,2025-09-21,Unauthorized Access,Critical,Low,Investigating,Yes,LOC0002
INC00187,2025-08-01,DDoS,Low,Significant,Investigating,Yes,LOC0056
INC00188,2023-06-21,DDoS,Low,Low,Contained,No,LOC0035
INC00189,2025-11-20,Data Breach,Critical,Moderate,Contained,No,LOC0066
INC00190,2024-11-15,Unauthorized Access,High,Low,Resolved,No,LOC0037
INC00191,2024-02-17,Malware,Low,Moderate,Investigating,No,LOC0098
INC00192,2024-10-18,Unauthorized Access,Medium,Moderate,Resolved,Yes,LOC0069
INC00193,2026-05-19,DDoS,High,Significant,Resolved,No,LOC0046
INC00194,2025-12-31,Data Breach,High,Significant,Resolved,Yes,LOC0071
INC00195,2025-11-30,Web Attack,High,Low,Resolved,No,LOC0065
INC00196,2024-08-13,Web Attack,Critical,Severe,Contained,No,LOC0063
INC00197,2025-09-28,Unauthorized Access,Medium,Severe,Contained,No,LOC0058
INC00198,2024-05-06,Ransomware,Medium,Moderate,Investigating,No,LOC0094
INC00199,2025-05-26,DDoS,Medium,Significant,Investigating,No,LOC0032
INC00200,2025-03-27,Phishing,Medium,Moderate,Resolved,No,LOC0044
INC00201,2023-11-15,Web Attack,Medium,Low,Contained,Yes,LOC0026
INC00202,2023-12-07,Insider Threat,Low,Moderate,Contained,Yes,LOC0057
INC00203,2023-03-20,Insider Threat,Medium,Low,Investigating,Yes,LOC0099
INC00204,2023-06-28,Ransomware,High,Severe,Contained,No,LOC0061
INC00205,2024-07-07,Ransomware,Low,Severe,Resolved,No,LOC0021
INC00206,2024-09-02,Insider Threat,Medium,Significant,Investigating,Yes,LOC0093
INC00207,2023-07-30,Unauthorized Access,High,Significant,Resolved,No,LOC0080
INC00208,2024-06-16,Data Breach,High,Significant,Resolved,No,LOC0045
INC00209,2025-02-10,DDoS,High,Severe,Resolved,Yes,LOC0015
INC00210,2023-10-24,DDoS,High,Moderate,Investigating,No,LOC0041
INC00211,2024-03-07,Data Breach,High,Low,Resolved,No,LOC0081
INC00212,2024-04-14,Insider Threat,Low,Significant,Investigating,No,LOC0058
INC00213,2024-10-06,Ransomware,Medium,Moderate,Contained,No,LOC0019
INC00214,2024-04-12,Insider Threat,High,Moderate,Resolved,Yes,LOC0016
INC00215,2025-07-30,Phishing,Medium,Low,Resolved,No,LOC0097
INC00216,2024-02-23,DDoS,Low,Significant,Investigating,No,LOC0045
INC00217,2024-07-08,Web Attack,Medium,Moderate,Resolved,No,LOC0069
INC00218,2024-04-29,Web Attack,Medium,Moderate,Open,No,LOC0037
INC00219,2023-08-22,Web Attack,Medium,Low,Resolved,No,LOC0010
INC00220,2025-05-25,Ransomware,Low,Moderate,Resolved,No,LOC0042
INC00221,2023-10-28,Insider Threat,Critical,Severe,Contained,Yes,LOC0070
INC00222,2024-01-15,Web Attack,Critical,Moderate,Resolved,Yes,LOC0034
INC00223,2025-10-09,Web Attack,Medium,Significant,Resolved,No,LOC0061
INC00224,2026-04-26,Malware,Critical,Significant,Resolved,No,LOC0044
INC00225,2025-05-06,Data Breach,Low,Moderate,Resolved,No,LOC0034
INC00226,2026-03-16,Web Attack,Critical,Significant,Resolved,No,LOC0026
INC00227,2025-12-26,Insider Threat,Critical,Significant,Investigating,Yes,LOC0027
INC00228,2024-09-06,Phishing,Low,Significant,Resolved,Yes,LOC0026
INC00229,2025-09-10,Insider Threat,High,Low,Investigating,No,LOC0072
INC00230,2024-02-24,Malware,Critical,Low,Resolved,Yes,LOC0034
INC00231,2024-08-11,DDoS,Critical,Severe,Investigating,No,LOC0075
INC00232,2024-11-14,Data Breach,Critical,Significant,Investigating,No,LOC0032
INC00233,2026-05-11,DDoS,High,Severe,Resolved,No,LOC0033
INC00234,2025-12-19,Data Breach,Low,Severe,Investigating,No,LOC0093
INC00235,2024-09-16,Phishing,Critical,Low,Contained,No,LOC0088
INC00236,2025-04-13,Unauthorized Access,High,Significant,Resolved,No,LOC0041
INC00237,2023-09-16,Data Breach,High,Moderate,Investigating,Yes,LOC0027
INC00238,2025-10-24,Data Breach,Medium,Significant,Investigating,No,LOC0072
INC00239,2024-12-07,Ransomware,High,Low,Contained,No,LOC0007
INC00240,2024-11-11,Ransomware,Low,Moderate,Investigating,Yes,LOC0046
INC00241,2025-09-05,Ransomware,High,Significant,Investigating,No,LOC0060
INC00242,2025-03-19,DDoS,Low,Significant,Open,No,LOC0068
INC00243,2023-04-03,Unauthorized Access,High,Significant,Contained,Yes,LOC0011
INC00244,2024-01-03,Ransomware,Critical,Moderate,Investigating,No,LOC0001
INC00245,2023-08-14,DDoS,Medium,Moderate,Open,No,LOC0028
INC00246,2025-07-27,Ransomware,Medium,Severe,Resolved,No,LOC0012
INC00247,2023-02-14,Phishing,Medium,Moderate,Resolved,No,LOC0051
INC00248,2023-09-16,Data Breach,Critical,Moderate,Open,No,LOC0092
INC00249,2025-02-01,Insider Threat,High,Significant,Investigating,No,LOC0029
INC00250,2025-06-06,Ransomware,Medium,Moderate,Resolved,No,LOC0046
INC00251,2024-10-04,Insider Threat,Low,Significant,Resolved,Yes,LOC0022
INC00252,2026-01-04,Unauthorized Access,Medium,Moderate,Contained,Yes,LOC0005
INC00253,2026-03-19,Phishing,Medium,Significant,Contained,No,LOC0071
INC00254,2023-06-18,Ransomware,Critical,Severe,Investigating,No,LOC0026
INC00255,2026-05-01,Malware,High,Severe,Resolved,Yes,LOC0055
INC00256,2025-03-23,Malware,Medium,Significant,Resolved,No,LOC0069
INC00257,2023-05-02,Ransomware,Critical,Moderate,Resolved,No,LOC0084
INC00258,2025-03-05,DDoS,Medium,Significant,Investigating,No,LOC0019
INC00259,2025-07-15,Insider Threat,Critical,Severe,Investigating,No,LOC0059
INC00260,2025-01-11,Phishing,Medium,Significant,Investigating,No,LOC0092
INC00261,2023-04-18,Insider Threat,High,Significant,Investigating,No,LOC0049
INC00262,2024-10-30,Phishing,Critical,Significant,Investigating,No,LOC0005
INC00263,2026-04-10,Phishing,Medium,Significant,Resolved,Yes,LOC0027
INC00264,2025-07-12,Data Breach,High,Significant,Investigating,No,LOC0080
INC00265,2023-06-25,Insider Threat,Critical,Moderate,Resolved,Yes,LOC0080
INC00266,2026-05-10,Unauthorized Access,Low,Moderate,Open,No,LOC0032
INC00267,2026-05-09,Malware,Low,Significant,Open,Yes,LOC0020
INC00268,2023-08-05,Malware,High,Low,Resolved,No,LOC0030
INC00269,2025-10-19,DDoS,Medium,Severe,Resolved,No,LOC0025
INC00270,2024-06-03,DDoS,Low,Significant,Contained,Yes,LOC0075
INC00271,2025-01-28,Web Attack,Medium,Low,Resolved,No,LOC0085
INC00272,2024-07-22,Ransomware,High,Significant,Investigating,Yes,LOC0005
INC00273,2025-09-26,Phishing,Medium,Significant,Investigating,No,LOC0075
INC00274,2026-06-26,Web Attack,Medium,Significant,Contained,No,LOC0076
INC00275,2025-10-12,Phishing,Critical,Moderate,Contained,No,LOC0062
INC00276,2026-04-04,Malware,High,Severe,Resolved,No,LOC0088
INC00277,2026-04-23,DDoS,Critical,Moderate,Investigating,No,LOC0004
INC00278,2023-04-26,DDoS,Medium,Significant,Resolved,No,LOC0070
INC00279,2023-11-20,Unauthorized Access,Critical,Low,Resolved,No,LOC0013
INC00280,2025-07-10,Web Attack,High,Significant,Investigating,No,LOC0090
INC00281,2025-01-23,Web Attack,Low,Significant,Open,No,LOC0050
INC00282,2023-03-06,Ransomware,Critical,Significant,Contained,Yes,LOC0010
INC00283,2023-05-02,Web Attack,Medium,Moderate,Resolved,No,LOC0075
INC00284,2024-10-26,Data Breach,Low,Significant,Resolved,Yes,LOC0075
INC00285,2025-02-25,Malware,Low,Significant,Resolved,No,LOC0047
INC00286,2023-08-03,Web Attack,High,Moderate,Contained,No,LOC0032
INC00287,2023-08-07,Phishing,Low,Severe,Investigating,No,LOC0002
INC00288,2023-06-15,Unauthorized Access,Medium,Significant,Contained,Yes,LOC0091
INC00289,2024-12-22,Insider Threat,Low,Severe,Investigating,Yes,LOC0019
INC00290,2023-01-11,Phishing,Medium,Severe,Resolved,No,LOC0085
INC00291,2024-12-31,Ransomware,Medium,Severe,Investigating,Yes,LOC0059
INC00292,2024-08-30,DDoS,High,Significant,Investigating,No,LOC0069
INC00293,2024-08-18,Web Attack,Medium,Significant,Contained,No,LOC0070
INC00294,2025-05-17,Phishing,Low,Low,Contained,No,LOC0086
INC00295,2024-10-29,Data Breach,High,Significant,Resolved,Yes,LOC0004
INC00296,2025-07-18,DDoS,Medium,Significant,Contained,Yes,LOC0100
INC00297,2025-09-02,Malware,High,Moderate,Resolved,No,LOC0005
INC00298,2026-03-20,Data Breach,Low,Severe,Resolved,No,LOC0100
INC00299,2025-10-17,Insider Threat,Low,Low,Resolved,Yes,LOC0027
INC00300,2024-10-23,Unauthorized Access,Medium,Moderate,Resolved,Yes,LOC0085
INC00301,2024-09-20,Phishing,Medium,Moderate,Resolved,No,LOC0009
INC00302,2023-10-28,Phishing,Medium,Moderate,Resolved,No,LOC0047
INC00303,2025-02-04,DDoS,High,Low,Contained,Yes,LOC0055
INC00304,2023-06-27,Unauthorized Access,Medium,Low,Investigating,Yes,LOC0096
INC00305,2026-04-04,Unauthorized Access,High,Severe,Resolved,No,LOC0013
INC00306,2025-12-15,Phishing,High,Moderate,Open,Yes,LOC0004
INC00307,2023-06-02,Unauthorized Access,Low,Low,Open,Yes,LOC0065
INC00308,2025-09-30,Ransomware,Medium,Low,Resolved,No,LOC0005
INC00309,2023-05-30,Data Breach,Medium,Moderate,Open,No,LOC0078
INC00310,2025-07-10,Insider Threat,Medium,Low,Contained,Yes,LOC0004
INC00311,2023-04-23,Data Breach,Low,Significant,Resolved,No,LOC0098
INC00312,2024-09-15,Malware,High,Significant,Investigating,Yes,LOC0054
INC00313,2025-04-20,Web Attack,Critical,Moderate,Resolved,Yes,LOC0095
INC00314,2025-07-19,Malware,Low,Significant,Investigating,No,LOC0013
INC00315,2024-06-18,Web Attack,High,Low,Resolved,No,LOC0028
INC00316,2026-03-22,Malware,High,Moderate,Resolved,No,LOC0046
INC00317,2025-09-15,Unauthorized Access,Medium,Severe,Investigating,No,LOC0003
INC00318,2023-09-23,Malware,High,Significant,Investigating,Yes,LOC0011
INC00319,2025-05-07,Malware,High,Severe,Investigating,No,LOC0033
INC00320,2025-07-21,Data Breach,Critical,Moderate,Contained,No,LOC0074
INC00321,2024-03-02,Data Breach,Critical,Moderate,Investigating,Yes,LOC0071
INC00322,2025-07-31,Malware,Low,Moderate,Resolved,No,LOC0009
INC00323,2026-02-21,Web Attack,Medium,Moderate,Investigating,Yes,LOC0006
INC00324,2025-08-31,Ransomware,High,Severe,Resolved,No,LOC0066
INC00325,2025-03-21,Ransomware,Low,Low,Investigating,No,LOC0036
INC00326,2023-12-12,Ransomware,Medium,Severe,Resolved,Yes,LOC0080
INC00327,2025-10-12,DDoS,Critical,Severe,Investigating,No,LOC0030
INC00328,2024-04-10,Phishing,Low,Significant,Contained,Yes,LOC0037
INC00329,2024-11-10,DDoS,Medium,Moderate,Resolved,No,LOC0022
INC00330,2024-02-06,Phishing,Critical,Moderate,Investigating,Yes,LOC0027
INC00331,2024-02-04,Malware,Medium,Moderate,Resolved,Yes,LOC0071
INC00332,2023-07-21,Ransomware,Medium,Significant,Investigating,No,LOC0048
INC00333,2026-05-12,Data Breach,Critical,Moderate,Resolved,No,LOC0066
INC00334,2023-07-08,Insider Threat,Medium,Severe,Resolved,Yes,LOC0008
INC00335,2023-04-21,Ransomware,Low,Significant,Resolved,No,LOC0054
INC00336,2026-04-10,Ransomware,Low,Moderate,Open,Yes,LOC0046
INC00337,2024-12-09,Insider Threat,Critical,Significant,Investigating,No,LOC0092
INC00338,2024-07-13,Data Breach,Medium,Moderate,Investigating,No,LOC0043
INC00339,2025-07-30,Insider Threat,Medium,Severe,Investigating,Yes,LOC0011
INC00340,2024-05-04,Web Attack,Low,Moderate,Investigating,No,LOC0070
INC00341,2023-06-13,Insider Threat,Medium,Severe,Resolved,No,LOC0015
INC00342,2025-07-20,Web Attack,Critical,Significant,Contained,No,LOC0091
INC00343,2023-08-13,DDoS,Medium,Severe,Resolved,No,LOC0039
INC00344,2024-12-07,DDoS,Critical,Moderate,Contained,No,LOC0079
INC00345,2026-04-26,Ransomware,Medium,Severe,Investigating,No,LOC0066
INC00346,2026-04-10,Phishing,Medium,Moderate,Contained,No,LOC0047
INC00347,2024-04-05,Data Breach,Critical,Significant,Investigating,No,LOC0059
INC00348,2025-09-23,Data Breach,Medium,Low,Contained,No,LOC0019
INC00349,2025-02-21,Insider Threat,Medium,Moderate,Contained,No,LOC0008
INC00350,2024-09-04,Phishing,Critical,Moderate,Contained,No,LOC0077
INC00351,2023-06-28,DDoS,Medium,Moderate,Resolved,No,LOC0096
INC00352,2024-04-25,Phishing,High,Moderate,Investigating,No,LOC0087
INC00353,2025-04-12,Web Attack,Critical,Significant,Contained,No,LOC0031
INC00354,2026-06-13,Ransomware,Medium,Moderate,Investigating,No,LOC0036
INC00355,2023-01-07,Phishing,Medium,Significant,Contained,No,LOC0036
INC00356,2025-07-05,Unauthorized Access,Low,Low,Resolved,No,LOC0071
INC00357,2025-12-16,Web Attack,Medium,Significant,Investigating,No,LOC0063
INC00358,2026-04-29,Web Attack,Medium,Significant,Resolved,No,LOC0080
INC00359,2024-06-25,Malware,High,Moderate,Contained,No,LOC0095
INC00360,2023-06-01,Ransomware,Medium,Significant,Open,Yes,LOC0040
