Response_ID,Incident_ID,Response_Time_Minutes,Resolution_Time_Minutes,Response_Status,Response_Team,Escalation_Level
RES00148,INC00148,12,339,In Progress,Incident Response,L3
RES00149,INC00149,128,480,Contained,Incident Response,L1
RES00150,INC00150,49,1171,Closed,Network Security,L1
RES00151,INC00151,44,273,In Progress,SOC Tier 2,L3
RES00152,INC00152,8,82,Closed,Incident Response,L3
RES00153,INC00153,5,721,Contained,Incident Response,L2
RES00154,INC00154,6,1073,In Progress,SOC Tier 1,L1
RES00155,INC00155,192,942,Pending,Incident Response,L3
RES00156,INC00156,10,267,Closed,Incident Response,L1
RES00157,INC00157,15,1135,Closed,Forensics,L1
RES00158,INC00158,61,629,Contained,Incident Response,L1
RES00159,INC00159,58,1088,In Progress,Forensics,L1
RES00160,INC00160,110,424,In Progress,SOC Tier 2,L1
RES00161,INC00161,20,1335,In Progress,Network Security,L2
RES00162,INC00162,40,469,Closed,Forensics,L1
RES00163,INC00163,15,1413,In Progress,SOC Tier 1,L3
RES00164,INC00164,38,599,In Progress,Incident Response,L3
RES00165,INC00165,131,1187,Pending,Forensics,L1
RES00166,INC00166,50,787,Closed,Incident Response,L2
RES00167,INC00167,24,161,Closed,Forensics,L3
RES00168,INC00168,50,218,Closed,Incident Response,L1
RES00169,INC00169,255,856,Closed,Forensics,L3
RES00170,INC00170,11,313,Closed,Network Security,L2
RES00171,INC00171,40,928,Contained,Incident Response,L1
RES00172,INC00172,15,239,Closed,SOC Tier 2,L1
RES00173,INC00173,70,932,Closed,SOC Tier 1,L1
RES00174,INC00174,76,394,In Progress,SOC Tier 2,L2
RES00175,INC00175,14,299,Closed,Network Security,L1
RES00176,INC00176,6,553,Closed,Incident Response,L1
RES00177,INC00177,41,892,Closed,SOC Tier 2,L2
RES00178,INC00178,14,607,In Progress,Incident Response,L2
RES00179,INC00179,134,657,Contained,SOC Tier 2,L3
RES00180,INC00180,9,518,Closed,Forensics,L1
RES00181,INC00181,38,545,In Progress,SOC Tier 2,L3
RES00182,INC00182,44,643,Pending,Incident Response,L1
RES00183,INC00183,45,1250,In Progress,Incident Response,L1
RES00184,INC00184,31,875,Contained,Network Security,L2
RES00185,INC00185,41,665,Closed,SOC Tier 2,L1
RES00186,INC00186,168,1254,Closed,SOC Tier 1,L3
RES00187,INC00187,15,788,Closed,Network Security,L2
RES00188,INC00188,11,1379,Contained,Incident Response,L1
RES00189,INC00189,108,931,Contained,Network Security,L1
RES00190,INC00190,68,402,In Progress,Incident Response,L1
RES00191,INC00191,6,829,In Progress,Incident Response,L1
RES00192,INC00192,13,1133,Closed,Forensics,L3
RES00193,INC00193,105,435,In Progress,SOC Tier 1,L1
RES00194,INC00194,49,364,In Progress,SOC Tier 1,L2
RES00195,INC00195,77,952,Closed,Forensics,L1
RES00196,INC00196,180,1457,Closed,Forensics,L1
RES00197,INC00197,35,536,Pending,Incident Response,L1
RES00198,INC00198,55,799,Closed,Incident Response,L1
RES00199,INC00199,39,992,Contained,Incident Response,L1
RES00200,INC00200,40,1005,Closed,Forensics,L1
RES00201,INC00201,81,316,Closed,Incident Response,L2
RES00202,INC00202,14,601,Pending,Network Security,L3
RES00203,INC00203,60,1491,In Progress,SOC Tier 2,L2
RES00204,INC00204,18,1300,In Progress,SOC Tier 2,L1
RES00205,INC00205,19,1137,Closed,Network Security,L1
RES00206,INC00206,94,158,Contained,SOC Tier 2,L2
RES00207,INC00207,267,885,Closed,SOC Tier 1,L1
RES00208,INC00208,19,121,Contained,SOC Tier 1,L1
RES00209,INC00209,49,503,Contained,Forensics,L3
RES00210,INC00210,29,1278,In Progress,SOC Tier 2,L1
RES00211,INC00211,59,635,In Progress,SOC Tier 1,L1
RES00212,INC00212,29,296,Contained,Forensics,L1
RES00213,INC00213,83,1129,Closed,Forensics,L1
RES00214,INC00214,150,1250,Closed,Incident Response,L3
RES00215,INC00215,10,964,In Progress,Network Security,L1
RES00216,INC00216,17,1187,Closed,Network Security,L1
RES00217,INC00217,23,1042,In Progress,SOC Tier 1,L1
RES00218,INC00218,32,956,Closed,SOC Tier 2,L1
RES00219,INC00219,25,1308,Pending,Incident Response,L1
RES00220,INC00220,5,492,Closed,Incident Response,L1
RES00221,INC00221,259,932,In Progress,SOC Tier 2,L2
RES00222,INC00222,62,885,In Progress,SOC Tier 1,L2
RES00223,INC00223,23,997,Closed,Forensics,L1
RES00224,INC00224,295,996,Contained,Network Security,L1
RES00225,INC00225,5,657,Contained,Network Security,L1
RES00226,INC00226,155,418,Contained,Incident Response,L1
RES00227,INC00227,226,1155,Closed,Incident Response,L2
RES00228,INC00228,40,244,Contained,Incident Response,L2
RES00229,INC00229,85,784,Closed,Incident Response,L1
RES00230,INC00230,188,794,Closed,Network Security,L2
RES00231,INC00231,226,1351,Closed,Forensics,L1
RES00232,INC00232,104,805,Contained,Network Security,L1
RES00233,INC00233,31,68,Closed,Network Security,L1
RES00234,INC00234,44,787,In Progress,SOC Tier 1,L1
RES00235,INC00235,174,508,Closed,Incident Response,L1
RES00236,INC00236,67,632,Contained,Forensics,L1
RES00237,INC00237,20,467,Closed,SOC Tier 2,L3
RES00238,INC00238,5,269,Closed,Incident Response,L1
RES00239,INC00239,88,1451,In Progress,SOC Tier 2,L1
RES00240,INC00240,5,392,In Progress,SOC Tier 1,L3
RES00241,INC00241,67,811,Contained,Network Security,L1
RES00242,INC00242,9,1206,Closed,SOC Tier 2,L1
RES00243,INC00243,45,588,Contained,Incident Response,L3
RES00244,INC00244,264,1615,Closed,Incident Response,L1
RES00245,INC00245,21,621,Contained,Forensics,L1
RES00246,INC00246,39,1403,Closed,Forensics,L1
RES00247,INC00247,21,688,Contained,Incident Response,L1
RES00248,INC00248,143,193,In Progress,SOC Tier 1,L1
RES00249,INC00249,74,1327,Contained,Incident Response,L1
RES00250,INC00250,37,1285,Closed,Forensics,L1
RES00251,INC00251,32,1418,In Progress,Incident Response,L3
RES00252,INC00252,9,213,In Progress,Incident Response,L2
RES00253,INC00253,6,1226,Contained,Network Security,L1
RES00254,INC00254,40,551,Closed,Incident Response,L1
RES00255,INC00255,74,1290,Closed,Incident Response,L3
RES00256,INC00256,52,1440,Contained,Incident Response,L1
RES00257,INC00257,5,315,In Progress,Forensics,L1
RES00258,INC00258,51,604,Contained,Incident Response,L1
RES00259,INC00259,88,496,Contained,SOC Tier 2,L1
RES00260,INC00260,101,560,Closed,Incident Response,L1
RES00261,INC00261,86,956,Contained,Network Security,L1
RES00262,INC00262,291,902,Closed,Forensics,L1
RES00263,INC00263,82,1037,Closed,Forensics,L3
RES00264,INC00264,50,1030,Closed,Network Security,L1
RES00265,INC00265,207,522,In Progress,Network Security,L3
RES00266,INC00266,13,104,Closed,Incident Response,L1
RES00267,INC00267,49,1131,Contained,SOC Tier 2,L2
RES00268,INC00268,54,340,Contained,Incident Response,L1
RES00269,INC00269,53,364,Closed,Network Security,L1
RES00270,INC00270,55,932,In Progress,Incident Response,L2
RES00271,INC00271,55,455,Contained,SOC Tier 2,L1
RES00272,INC00272,46,343,In Progress,SOC Tier 1,L3
RES00273,INC00273,12,474,In Progress,SOC Tier 1,L1
RES00274,INC00274,9,775,Closed,Incident Response,L1
RES00275,INC00275,159,1381,Closed,Network Security,L1
RES00276,INC00276,62,1486,Closed,Network Security,L1
RES00277,INC00277,41,1103,Contained,Forensics,L1
RES00278,INC00278,62,1359,Pending,Network Security,L1
RES00279,INC00279,190,968,Contained,SOC Tier 1,L1
RES00280,INC00280,61,666,Contained,Forensics,L1
RES00281,INC00281,43,1228,Closed,Forensics,L1
RES00282,INC00282,22,478,Closed,Forensics,L2
RES00283,INC00283,27,1203,Closed,Incident Response,L1
RES00284,INC00284,24,1461,Closed,SOC Tier 2,L3
RES00285,INC00285,7,586,Contained,Forensics,L1
RES00286,INC00286,117,1040,Closed,SOC Tier 1,L1
RES00287,INC00287,35,1166,Closed,Network Security,L1
RES00288,INC00288,5,1139,Closed,Forensics,L3
RES00289,INC00289,44,364,Contained,Forensics,L3
RES00290,INC00290,53,1440,Closed,Incident Response,L1
RES00291,INC00291,24,763,Contained,Forensics,L2
RES00292,INC00292,17,105,Closed,Forensics,L1
RES00293,INC00293,72,268,Closed,Forensics,L1
RES00294,INC00294,6,1061,Closed,SOC Tier 2,L1
RES00295,INC00295,93,724,In Progress,Network Security,L2
RES00296,INC00296,13,195,In Progress,Forensics,L3
RES00297,INC00297,65,828,Closed,SOC Tier 2,L1
RES00298,INC00298,31,906,Closed,SOC Tier 2,L1
RES00299,INC00299,11,153,Closed,SOC Tier 2,L2
RES00300,INC00300,98,621,Contained,SOC Tier 2,L2
RES00301,INC00301,56,738,Closed,Network Security,L1
RES00302,INC00302,15,1145,Closed,Forensics,L1
RES00303,INC00303,18,966,In Progress,SOC Tier 1,L3
RES00304,INC00304,19,171,In Progress,SOC Tier 2,L3
RES00305,INC00305,63,958,Closed,Forensics,L1
RES00306,INC00306,185,1487,In Progress,Incident Response,L3
RES00307,INC00307,52,158,Closed,SOC Tier 2,L3
RES00308,INC00308,24,1445,Closed,Network Security,L1
RES00309,INC00309,23,187,Contained,Forensics,L1
RES00310,INC00310,63,970,In Progress,SOC Tier 2,L3
RES00311,INC00311,28,553,Closed,Incident Response,L1
RES00312,INC00312,156,1216,Closed,Network Security,L2
RES00313,INC00313,278,1496,Closed,Forensics,L3
RES00314,INC00314,8,1239,Closed,Incident Response,L1
RES00315,INC00315,15,1271,Closed,Forensics,L1
RES00316,INC00316,100,1280,Closed,Network Security,L1
RES00317,INC00317,43,509,Closed,Incident Response,L1
RES00318,INC00318,8,694,Contained,Incident Response,L3
RES00319,INC00319,14,1057,In Progress,Network Security,L1
RES00320,INC00320,170,437,Contained,SOC Tier 1,L1
RES00321,INC00321,103,947,Closed,SOC Tier 2,L2
RES00322,INC00322,25,802,Contained,SOC Tier 2,L1
RES00323,INC00323,14,1430,Closed,Forensics,L2
RES00324,INC00324,104,204,Closed,Forensics,L1
RES00325,INC00325,21,184,Contained,Forensics,L1
RES00326,INC00326,61,133,In Progress,SOC Tier 1,L3
RES00327,INC00327,78,880,Closed,SOC Tier 2,L1
RES00328,INC00328,9,815,Pending,SOC Tier 2,L2
RES00329,INC00329,10,875,Closed,SOC Tier 1,L1
RES00330,INC00330,89,460,Contained,SOC Tier 2,L3
RES00331,INC00331,77,540,Contained,Incident Response,L3
RES00332,INC00332,92,709,Closed,Forensics,L1
RES00333,INC00333,39,135,Contained,SOC Tier 1,L1
RES00334,INC00334,35,1125,Contained,Forensics,L3
RES00335,INC00335,47,150,Contained,Forensics,L1
RES00336,INC00336,51,1021,Contained,SOC Tier 1,L3
RES00337,INC00337,86,755,Closed,SOC Tier 2,L1
RES00338,INC00338,82,1520,In Progress,Incident Response,L1
RES00339,INC00339,73,1079,Contained,Forensics,L2
RES00340,INC00340,30,730,In Progress,Network Security,L1
RES00341,INC00341,7,1024,Contained,Forensics,L1
RES00342,INC00342,70,265,In Progress,SOC Tier 2,L1
RES00343,INC00343,33,318,Closed,Forensics,L1
RES00344,INC00344,99,832,In Progress,Forensics,L1
RES00345,INC00345,35,1274,Closed,Incident Response,L1
RES00346,INC00346,123,1309,In Progress,SOC Tier 1,L1
RES00347,INC00347,89,650,Contained,SOC Tier 2,L1
RES00348,INC00348,49,478,In Progress,SOC Tier 1,L1
RES00349,INC00349,48,1437,Closed,Forensics,L1
RES00350,INC00350,110,937,Closed,SOC Tier 2,L1
RES00351,INC00351,13,209,In Progress,Network Security,L1
RES00352,INC00352,70,417,Closed,SOC Tier 2,L1
RES00353,INC00353,13,1222,Contained,Forensics,L1
RES00354,INC00354,53,1349,Closed,Network Security,L1
RES00355,INC00355,5,1315,Closed,SOC Tier 2,L1
RES00356,INC00356,22,61,In Progress,Incident Response,L1
RES00357,INC00357,22,1211,Contained,SOC Tier 1,L1
RES00358,INC00358,15,202,Pending,SOC Tier 1,L1
RES00359,INC00359,112,1282,Closed,Forensics,L1
RES00360,INC00360,26,1298,Contained,Forensics,L3
RES00361,INC00361,67,606,Closed,Forensics,L1
RES00362,INC00362,7,310,In Progress,Network Security,L3
RES00363,INC00363,97,1132,Closed,SOC Tier 2,L3
RES00364,INC00364,41,167,In Progress,SOC Tier 1,L1
RES00365,INC00365,72,918,Closed,Network Security,L1
RES00366,INC00366,53,550,Contained,SOC Tier 2,L1
RES00367,INC00367,5,633,In Progress,SOC Tier 1,L3
RES00368,INC00368,321,1515,In Progress,SOC Tier 1,L1
RES00369,INC00369,49,1479,Closed,Incident Response,L1
RES00370,INC00370,99,696,In Progress,Forensics,L1
RES00371,INC00371,84,523,Closed,SOC Tier 2,L1
RES00372,INC00372,22,1228,Closed,Forensics,L1
RES00373,INC00373,23,635,Contained,SOC Tier 2,L3
RES00374,INC00374,140,451,Pending,Network Security,L3
RES00375,INC00375,36,1339,In Progress,SOC Tier 2,L3
RES00376,INC00376,55,1483,In Progress,Network Security,L1
RES00377,INC00377,89,526,Contained,SOC Tier 2,L2
RES00378,INC00378,17,269,Closed,Network Security,L2
RES00379,INC00379,171,416,Contained,Incident Response,L2
RES00380,INC00380,200,1074,In Progress,SOC Tier 1,L2
RES00381,INC00381,17,484,Closed,SOC Tier 2,L1
RES00382,INC00382,27,935,Contained,SOC Tier 2,L3
RES00383,INC00383,100,1200,Closed,Incident Response,L1
RES00384,INC00384,40,78,Closed,SOC Tier 2,L3
RES00385,INC00385,40,1282,Contained,Incident Response,L2
RES00386,INC00386,30,101,Contained,Forensics,L2
RES00387,INC00387,51,242,Closed,Network Security,L1
RES00388,INC00388,20,1072,Closed,SOC Tier 2,L3
RES00389,INC00389,7,913,Closed,Network Security,L1
RES00390,INC00390,93,1502,Closed,Forensics,L3
RES00391,INC00391,58,887,Closed,SOC Tier 2,L1
RES00392,INC00392,106,724,Closed,SOC Tier 2,L2
RES00393,INC00393,70,1043,Closed,SOC Tier 1,L1
RES00394,INC00394,23,1127,Closed,Forensics,L1
RES00395,INC00395,9,985,Closed,Forensics,L3
RES00396,INC00396,70,622,Contained,Incident Response,L2
RES00397,INC00397,7,1389,Closed,Forensics,L1
RES00398,INC00398,30,485,In Progress,Network Security,L3
RES00399,INC00399,54,572,In Progress,Forensics,L3
RES00400,INC00400,23,444,Contained,Forensics,L1
RES00401,INC00401,14,466,In Progress,Forensics,L2
RES00402,INC00402,25,355,Closed,SOC Tier 2,L1
RES00403,INC00403,20,869,In Progress,Network Security,L1
RES00404,INC00404,30,1087,Closed,SOC Tier 1,L1
RES00405,INC00405,12,647,Contained,Forensics,L2
RES00406,INC00406,10,1341,In Progress,SOC Tier 2,L1
RES00407,INC00407,7,704,In Progress,Incident Response,L1
RES00408,INC00408,22,710,Contained,Incident Response,L2
RES00409,INC00409,243,370,Closed,Network Security,L1
RES00410,INC00410,74,1377,Contained,Network Security,L1
RES00411,INC00411,30,269,In Progress,Forensics,L1
RES00412,INC00412,46,307,Contained,Network Security,L3
RES00413,INC00413,98,1446,In Progress,Network Security,L2
RES00414,INC00414,35,797,Pending,Incident Response,L1
RES00415,INC00415,32,158,Closed,Incident Response,L1
RES00416,INC00416,170,822,In Progress,Forensics,L1
RES00417,INC00417,133,995,In Progress,SOC Tier 2,L2
RES00418,INC00418,56,100,Closed,Network Security,L1
RES00419,INC00419,94,1187,Closed,SOC Tier 2,L2
RES00420,INC00420,127,1099,Contained,Incident Response,L1
RES00421,INC00421,11,57,Closed,SOC Tier 2,L1
RES00422,INC00422,158,1060,Closed,SOC Tier 2,L3
RES00423,INC00423,8,352,In Progress,Forensics,L2
RES00424,INC00424,14,1079,In Progress,Network Security,L3
RES00425,INC00425,94,655,Closed,Network Security,L1
RES00426,INC00426,23,338,Closed,SOC Tier 1,L3
RES00427,INC00427,65,809,Closed,SOC Tier 2,L1
RES00428,INC00428,32,686,Contained,SOC Tier 2,L1
RES00429,INC00429,33,544,Closed,Network Security,L1
RES00430,INC00430,105,1373,Contained,Forensics,L1
RES00431,INC00431,58,1003,Closed,SOC Tier 2,L1
RES00432,INC00432,108,825,Closed,SOC Tier 2,L1
RES00433,INC00433,5,354,In Progress,Incident Response,L1
RES00434,INC00434,73,904,In Progress,Forensics,L1
RES00435,INC00435,49,114,Closed,SOC Tier 2,L1
RES00436,INC00436,26,1303,Closed,SOC Tier 2,L1
RES00437,INC00437,16,48,Pending,Incident Response,L1
RES00438,INC00438,45,1060,Closed,Forensics,L1
RES00439,INC00439,33,550,Contained,Network Security,L2
RES00440,INC00440,51,1094,Contained,Incident Response,L1
RES00441,INC00441,136,675,Contained,Network Security,L3
RES00442,INC00442,110,176,Closed,SOC Tier 1,L1
RES00443,INC00443,275,1642,In Progress,Network Security,L1
RES00444,INC00444,30,1140,Closed,SOC Tier 1,L1
RES00445,INC00445,53,146,In Progress,SOC Tier 2,L3
RES00446,INC00446,28,104,Closed,SOC Tier 2,L1
RES00447,INC00447,71,848,Closed,Network Security,L1
RES00448,INC00448,34,1412,In Progress,SOC Tier 2,L1
RES00449,INC00449,25,869,Contained,SOC Tier 2,L1
RES00450,INC00450,20,65,Contained,Forensics,L1
RES00451,INC00451,84,1099,Contained,Incident Response,L1
RES00452,INC00452,133,766,Closed,Network Security,L3
RES00453,INC00453,26,956,Closed,Incident Response,L1
RES00454,INC00454,324,847,Contained,Network Security,L1
RES00455,INC00455,17,58,Closed,Network Security,L2
RES00456,INC00456,69,124,Contained,Network Security,L1
RES00457,INC00457,123,1043,In Progress,Forensics,L1
RES00458,INC00458,14,939,In Progress,Network Security,L1
RES00459,INC00459,118,602,Contained,SOC Tier 2,L1
RES00460,INC00460,13,159,Closed,SOC Tier 1,L1
RES00461,INC00461,192,1311,In Progress,Forensics,L2
RES00462,INC00462,6,249,Closed,SOC Tier 2,L1
RES00463,INC00463,28,323,In Progress,SOC Tier 2,L1
RES00464,INC00464,210,877,Closed,SOC Tier 1,L1
RES00465,INC00465,30,1069,Pending,Incident Response,L1
RES00466,INC00466,254,1687,Contained,Incident Response,L1
RES00467,INC00467,12,923,Pending,Forensics,L1
RES00468,INC00468,38,1422,Contained,Network Security,L3
RES00469,INC00469,150,1099,Pending,Network Security,L1
RES00470,INC00470,61,1286,Contained,Incident Response,L1
RES00471,INC00471,158,436,Closed,Forensics,L1
RES00472,INC00472,44,153,In Progress,Forensics,L2
RES00473,INC00473,16,989,Closed,Forensics,L1
RES00474,INC00474,17,1421,Closed,SOC Tier 2,L3
RES00475,INC00475,19,1088,Contained,SOC Tier 2,L1
RES00476,INC00476,33,546,Closed,SOC Tier 1,L1
RES00477,INC00477,12,732,Contained,Forensics,L2
RES00478,INC00478,128,316,Closed,Network Security,L1
RES00479,INC00479,117,626,Closed,Forensics,L1
RES00480,INC00480,62,1054,Closed,Network Security,L2
RES00481,INC00481,43,307,In Progress,Incident Response,L1
RES00482,INC00482,104,813,Closed,SOC Tier 1,L1
RES00483,INC00483,115,553,In Progress,SOC Tier 1,L3
RES00484,INC00484,25,747,Contained,Network Security,L1
RES00485,INC00485,15,1121,Pending,SOC Tier 2,L1
RES00486,INC00486,103,1380,In Progress,SOC Tier 2,L2
RES00487,INC00487,73,680,Closed,Forensics,L3
RES00488,INC00488,61,1257,Closed,Incident Response,L1
RES00489,INC00489,36,1056,Pending,Forensics,L2
RES00490,INC00490,66,1395,Closed,Incident Response,L1
RES00491,INC00491,63,1136,Closed,Forensics,L1
